ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	infeasible	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.265	19.18	8.34	16.52	12.98	1.0	0	0	0	43	10	36	29	9	6	8	6	0	166.36885809898376	50	166.36885809898376	35	30.0	
0.607142857143	21.58	8.85714285714	17.619047619	13.9523809524	2.0	1	0	30	41	13.0	34.0	27.0	8	6.0	8.0	6.0	0	65.91661715507507	100	232.28547525405884	47	53.0	
0.738095238095	24.3	9.95238095238	21.8333333333	17.5	3.5	2	0	39	50	15.0	47.0	38.0	5	6.0	8.0	6.0	0	135.61994075775146	150	367.9054160118103	63	58.0	
1.12820512821	28.84	10.5384615385	24.7435897436	19.8717948718	3.5	3	0	51	42	15.0	47.0	38.0	10	7.0	9.0	7.0	0	125.45367169380188	200	493.3590877056122	81	59.5	
1.30357142857	34.36	11.6666666667	27.7142857143	22.2857142857	3.5	4	0	60	59	17.0	50.0	41.0	9	6.0	8.0	6.0	0	135.66028928756714	250	629.0193769931793	97	61.199999999999996	
1.84461805556	38.08	11.8666666667	26.8888888889	21.6444444444	9.5	5	0	66	62	16.0	42.0	34.0	15	7.0	9.0	7.0	0	146.01179695129395	300	775.0311739444733	120	60.0	
1.63109756098	38.08	11.1219512195	24.4390243902	19.6097560976	9.5	6	0	76	61	16.0	49.0	40.0	18	7.0	9.0	7.0	0	132.81955289840698	350	907.8507268428802	136	61.142857142857146	
2.24468085106	39.94	12.2127659574	27.7234042553	22.3404255319	9.5	7	0	80	67	17.0	64.0	52.0	19	7.0	9.0	7.0	0	152.7884542942047	400	1060.639181137085	154	61.5	
1.95413032867	40.66	12.1860465116	28.4651162791	23.0	9.5	8	0	88	67	17.0	66.0	54.0	9	7.0	9.0	7.0	0	140.565203666687	450	1201.204384803772	174	61.333333333333336	
1.79835069242	42.26	12.125	27.6458333333	22.2291666667	9.5	9	0	91	69	17.0	66.0	54.0	18	6.0	8.0	6.0	0	156.77256298065186	500	1357.9769477844238	197	60.6	
1.74305555556	45.7	11.7555555556	27.4444444444	22.0444444444	12.5	10	0	97	81	17.0	71.0	58.0	12	6.0	8.0	6.0	0	146.68019771575928	550	1504.657145500183	216	60.72727272727273	
